news,label_key,gold,pred_binary,correct
"December gold $4.90, or 0.4%, lower at $1,313.20/oz.",Future Information,0,0,1
"December gold $4.90, or 0.4%, lower at $1,313.20/oz.",Price Sentiment_positive,0,0,1
"December gold $4.90, or 0.4%, lower at $1,313.20/oz.",Price Sentiment_negative,1,1,1
"December gold $4.90, or 0.4%, lower at $1,313.20/oz.",Price Sentiment_none,0,0,1
"gold prices gain in asia on technical rebound, boj ahead",Price Direction Up,1,1,1
"gold prices gain in asia on technical rebound, boj ahead",Price Direction Constant,0,0,1
"gold prices gain in asia on technical rebound, boj ahead",Price Direction Down,0,0,1
"gold prices gain in asia on technical rebound, boj ahead",Asset Comparision,0,0,1
"gold prices gain in asia on technical rebound, boj ahead",Past Information,1,1,1
"gold prices gain in asia on technical rebound, boj ahead",Future Information,0,0,1
"gold prices gain in asia on technical rebound, boj ahead",Price Sentiment_positive,1,1,1
"gold prices gain in asia on technical rebound, boj ahead",Price Sentiment_negative,0,1,0
"gold prices gain in asia on technical rebound, boj ahead",Price Sentiment_none,0,0,1
"Buy gold if it dips to $1,245-48/oz",Price Direction Up,0,0,1
"Buy gold if it dips to $1,245-48/oz",Price Direction Constant,0,0,1
"Buy gold if it dips to $1,245-48/oz",Price Direction Down,1,0,0
"Buy gold if it dips to $1,245-48/oz",Asset Comparision,0,0,1
"Buy gold if it dips to $1,245-48/oz",Past Information,0,0,1
"Buy gold if it dips to $1,245-48/oz",Future Information,1,0,0
"Buy gold if it dips to $1,245-48/oz",Price Sentiment_positive,0,1,0
"Buy gold if it dips to $1,245-48/oz",Price Sentiment_negative,1,1,1
"Buy gold if it dips to $1,245-48/oz",Price Sentiment_none,0,0,1
"peter schiff sheds no tears as a trump rally hammers gold, dow nears 20,000",Price Direction Up,0,0,1
"peter schiff sheds no tears as a trump rally hammers gold, dow nears 20,000",Price Direction Constant,0,0,1
"peter schiff sheds no tears as a trump rally hammers gold, dow nears 20,000",Price Direction Down,0,0,1
"peter schiff sheds no tears as a trump rally hammers gold, dow nears 20,000",Asset Comparision,0,1,0
"peter schiff sheds no tears as a trump rally hammers gold, dow nears 20,000",Past Information,1,0,0
"peter schiff sheds no tears as a trump rally hammers gold, dow nears 20,000",Future Information,0,0,1
"peter schiff sheds no tears as a trump rally hammers gold, dow nears 20,000",Price Sentiment_positive,0,0,1
"peter schiff sheds no tears as a trump rally hammers gold, dow nears 20,000",Price Sentiment_negative,0,1,0
"peter schiff sheds no tears as a trump rally hammers gold, dow nears 20,000",Price Sentiment_none,1,0,0
"Dec. gold settles at $1,282.90/oz, up $3.20, or 0.3%",Price Direction Up,1,1,1
"Dec. gold settles at $1,282.90/oz, up $3.20, or 0.3%",Price Direction Constant,0,0,1
"Dec. gold settles at $1,282.90/oz, up $3.20, or 0.3%",Price Direction Down,0,0,1
"Dec. gold settles at $1,282.90/oz, up $3.20, or 0.3%",Asset Comparision,0,0,1
"Dec. gold settles at $1,282.90/oz, up $3.20, or 0.3%",Past Information,1,1,1
"Dec. gold settles at $1,282.90/oz, up $3.20, or 0.3%",Future Information,0,0,1
"Dec. gold settles at $1,282.90/oz, up $3.20, or 0.3%",Price Sentiment_positive,1,1,1
"Dec. gold settles at $1,282.90/oz, up $3.20, or 0.3%",Price Sentiment_negative,0,1,0
"Dec. gold settles at $1,282.90/oz, up $3.20, or 0.3%",Price Sentiment_none,0,0,1
"Gold for December delivery up 0.5% at $1,289.10",Price Direction Up,1,1,1
"Gold for December delivery up 0.5% at $1,289.10",Price Direction Constant,0,0,1
"Gold for December delivery up 0.5% at $1,289.10",Price Direction Down,0,0,1
"Gold for December delivery up 0.5% at $1,289.10",Asset Comparision,0,0,1
"Gold for December delivery up 0.5% at $1,289.10",Past Information,1,0,0
"Gold for December delivery up 0.5% at $1,289.10",Future Information,0,0,1
"Gold for December delivery up 0.5% at $1,289.10",Price Sentiment_positive,1,1,1
"Gold for December delivery up 0.5% at $1,289.10",Price Sentiment_negative,0,0,1
"Gold for December delivery up 0.5% at $1,289.10",Price Sentiment_none,0,0,1
gold dips as dollar rallies,Price Direction Up,0,0,1
gold dips as dollar rallies,Price Direction Constant,0,0,1
gold dips as dollar rallies,Price Direction Down,1,1,1
gold dips as dollar rallies,Asset Comparision,1,1,1
gold dips as dollar rallies,Past Information,1,1,1
gold dips as dollar rallies,Future Information,0,0,1
gold dips as dollar rallies,Price Sentiment_positive,0,0,1
gold dips as dollar rallies,Price Sentiment_negative,1,1,1
gold dips as dollar rallies,Price Sentiment_none,0,0,1
gold closes higher as oil price rises; copper hit by strike,Price Direction Up,1,1,1
gold closes higher as oil price rises; copper hit by strike,Price Direction Constant,0,0,1
gold closes higher as oil price rises; copper hit by strike,Price Direction Down,0,0,1
gold closes higher as oil price rises; copper hit by strike,Asset Comparision,1,1,1
gold closes higher as oil price rises; copper hit by strike,Past Information,1,0,0
gold closes higher as oil price rises; copper hit by strike,Future Information,0,0,1
gold closes higher as oil price rises; copper hit by strike,Price Sentiment_positive,1,1,1
gold closes higher as oil price rises; copper hit by strike,Price Sentiment_negative,0,1,0
gold closes higher as oil price rises; copper hit by strike,Price Sentiment_none,0,0,1
"gold, silver slide on selling, weak demand",Price Direction Up,0,0,1
"gold, silver slide on selling, weak demand",Price Direction Constant,0,0,1
"gold, silver slide on selling, weak demand",Price Direction Down,1,1,1
"gold, silver slide on selling, weak demand",Asset Comparision,1,1,1
"gold, silver slide on selling, weak demand",Past Information,1,1,1
"gold, silver slide on selling, weak demand",Future Information,0,0,1
"gold, silver slide on selling, weak demand",Price Sentiment_positive,0,0,1
"gold, silver slide on selling, weak demand",Price Sentiment_negative,1,1,1
"gold, silver slide on selling, weak demand",Price Sentiment_none,0,0,1
"gold, silver start week on firm note, rise on global cues",Price Direction Up,1,1,1
"gold, silver start week on firm note, rise on global cues",Price Direction Constant,0,0,1
"gold, silver start week on firm note, rise on global cues",Price Direction Down,0,0,1
"gold, silver start week on firm note, rise on global cues",Asset Comparision,1,0,0
"gold, silver start week on firm note, rise on global cues",Past Information,1,0,0
"gold, silver start week on firm note, rise on global cues",Future Information,0,0,1
"gold, silver start week on firm note, rise on global cues",Price Sentiment_positive,1,1,1
"gold, silver start week on firm note, rise on global cues",Price Sentiment_negative,0,0,1
"gold, silver start week on firm note, rise on global cues",Price Sentiment_none,0,0,1
Gold Prices Hold onto Gains Ahead of FOMC Statement,Price Direction Up,0,1,0
Gold Prices Hold onto Gains Ahead of FOMC Statement,Price Direction Constant,1,0,0
Gold Prices Hold onto Gains Ahead of FOMC Statement,Price Direction Down,0,0,1
Gold Prices Hold onto Gains Ahead of FOMC Statement,Asset Comparision,0,0,1
Gold Prices Hold onto Gains Ahead of FOMC Statement,Past Information,1,1,1
Gold Prices Hold onto Gains Ahead of FOMC Statement,Future Information,0,1,0
Gold Prices Hold onto Gains Ahead of FOMC Statement,Price Sentiment_positive,0,1,0
Gold Prices Hold onto Gains Ahead of FOMC Statement,Price Sentiment_negative,0,1,0
Gold Prices Hold onto Gains Ahead of FOMC Statement,Price Sentiment_none,0,0,1
india : gold prices rush to near two-year high as festive season spurts demand,Price Direction Up,1,1,1
india : gold prices rush to near two-year high as festive season spurts demand,Price Direction Constant,0,0,1
india : gold prices rush to near two-year high as festive season spurts demand,Price Direction Down,0,0,1
india : gold prices rush to near two-year high as festive season spurts demand,Asset Comparision,0,0,1
india : gold prices rush to near two-year high as festive season spurts demand,Past Information,1,0,0
india : gold prices rush to near two-year high as festive season spurts demand,Future Information,0,0,1
india : gold prices rush to near two-year high as festive season spurts demand,Price Sentiment_positive,1,1,1
india : gold prices rush to near two-year high as festive season spurts demand,Price Sentiment_negative,0,0,1
india : gold prices rush to near two-year high as festive season spurts demand,Price Sentiment_none,0,0,1
world gold council : india's budget - policy & progress,Price Direction Up,0,0,1
world gold council : india's budget - policy & progress,Price Direction Constant,0,0,1
world gold council : india's budget - policy & progress,Price Direction Down,0,0,1
world gold council : india's budget - policy & progress,Asset Comparision,0,0,1
world gold council : india's budget - policy & progress,Past Information,1,0,0
world gold council : india's budget - policy & progress,Future Information,0,0,1
world gold council : india's budget - policy & progress,Price Sentiment_positive,0,1,0
world gold council : india's budget - policy & progress,Price Sentiment_negative,0,1,0
world gold council : india's budget - policy & progress,Price Sentiment_none,1,0,0
Over 900 kg of gold mobilised under monetisation scheme,Price Direction Up,0,0,1
Over 900 kg of gold mobilised under monetisation scheme,Price Direction Constant,0,0,1
Over 900 kg of gold mobilised under monetisation scheme,Price Direction Down,0,0,1
Over 900 kg of gold mobilised under monetisation scheme,Asset Comparision,0,0,1
Over 900 kg of gold mobilised under monetisation scheme,Past Information,1,0,0
Over 900 kg of gold mobilised under monetisation scheme,Future Information,0,0,1
Over 900 kg of gold mobilised under monetisation scheme,Price Sentiment_positive,0,1,0
Over 900 kg of gold mobilised under monetisation scheme,Price Sentiment_negative,0,0,1
Over 900 kg of gold mobilised under monetisation scheme,Price Sentiment_none,1,0,0
gold futures sink to four-month low,Price Direction Up,0,0,1
gold futures sink to four-month low,Price Direction Constant,0,0,1
gold futures sink to four-month low,Price Direction Down,1,1,1
gold futures sink to four-month low,Asset Comparision,0,0,1
gold futures sink to four-month low,Past Information,1,1,1
gold futures sink to four-month low,Future Information,0,0,1
gold futures sink to four-month low,Price Sentiment_positive,0,0,1
gold futures sink to four-month low,Price Sentiment_negative,1,1,1
gold futures sink to four-month low,Price Sentiment_none,0,0,1
"why apple's $10k, solid-gold watch isn't dazzling metals experts",Price Direction Up,0,0,1
"why apple's $10k, solid-gold watch isn't dazzling metals experts",Price Direction Constant,0,0,1
"why apple's $10k, solid-gold watch isn't dazzling metals experts",Price Direction Down,0,0,1
"why apple's $10k, solid-gold watch isn't dazzling metals experts",Asset Comparision,0,1,0
"why apple's $10k, solid-gold watch isn't dazzling metals experts",Past Information,1,0,0
"why apple's $10k, solid-gold watch isn't dazzling metals experts",Future Information,0,0,1
"why apple's $10k, solid-gold watch isn't dazzling metals experts",Price Sentiment_positive,0,0,1
"why apple's $10k, solid-gold watch isn't dazzling metals experts",Price Sentiment_negative,0,1,0
"why apple's $10k, solid-gold watch isn't dazzling metals experts",Price Sentiment_none,1,0,0
"gold futures edge up, but close below peak",Price Direction Up,1,0,0
"gold futures edge up, but close below peak",Price Direction Constant,0,0,1
"gold futures edge up, but close below peak",Price Direction Down,0,0,1
"gold futures edge up, but close below peak",Asset Comparision,0,0,1
"gold futures edge up, but close below peak",Past Information,1,1,1
"gold futures edge up, but close below peak",Future Information,0,0,1
"gold futures edge up, but close below peak",Price Sentiment_positive,1,0,0
"gold futures edge up, but close below peak",Price Sentiment_negative,0,1,0
"gold futures edge up, but close below peak",Price Sentiment_none,0,0,1
"feb. gold erases gains, turns roughly flat at $1,194 an oz.",Price Direction Up,1,0,0
"feb. gold erases gains, turns roughly flat at $1,194 an oz.",Price Direction Constant,0,0,1
"feb. gold erases gains, turns roughly flat at $1,194 an oz.",Price Direction Down,0,0,1
"feb. gold erases gains, turns roughly flat at $1,194 an oz.",Asset Comparision,0,0,1
"feb. gold erases gains, turns roughly flat at $1,194 an oz.",Past Information,1,1,1
"feb. gold erases gains, turns roughly flat at $1,194 an oz.",Future Information,0,0,1
"feb. gold erases gains, turns roughly flat at $1,194 an oz.",Price Sentiment_positive,1,0,0
"feb. gold erases gains, turns roughly flat at $1,194 an oz.",Price Sentiment_negative,0,1,0
"feb. gold erases gains, turns roughly flat at $1,194 an oz.",Price Sentiment_none,0,0,1
Gold drops from a 1-year high to its lowest level in a week,Price Direction Up,0,0,1
Gold drops from a 1-year high to its lowest level in a week,Price Direction Constant,0,0,1
Gold drops from a 1-year high to its lowest level in a week,Price Direction Down,1,1,1
Gold drops from a 1-year high to its lowest level in a week,Asset Comparision,0,0,1
Gold drops from a 1-year high to its lowest level in a week,Past Information,1,1,1
Gold drops from a 1-year high to its lowest level in a week,Future Information,0,0,1
Gold drops from a 1-year high to its lowest level in a week,Price Sentiment_positive,0,0,1
Gold drops from a 1-year high to its lowest level in a week,Price Sentiment_negative,1,1,1
Gold drops from a 1-year high to its lowest level in a week,Price Sentiment_none,0,0,1
"dec. gold up $34.10 to settle at $1,797.30/oz",Price Direction Up,1,1,1
"dec. gold up $34.10 to settle at $1,797.30/oz",Price Direction Constant,0,0,1
"dec. gold up $34.10 to settle at $1,797.30/oz",Price Direction Down,0,0,1
"dec. gold up $34.10 to settle at $1,797.30/oz",Asset Comparision,0,0,1
"dec. gold up $34.10 to settle at $1,797.30/oz",Past Information,1,0,0
"dec. gold up $34.10 to settle at $1,797.30/oz",Future Information,0,0,1
"dec. gold up $34.10 to settle at $1,797.30/oz",Price Sentiment_positive,1,1,1
"dec. gold up $34.10 to settle at $1,797.30/oz",Price Sentiment_negative,0,0,1
"dec. gold up $34.10 to settle at $1,797.30/oz",Price Sentiment_none,0,0,1
"Gold futures rise to Rs 28,844 on firm global cues",Price Direction Up,1,1,1
"Gold futures rise to Rs 28,844 on firm global cues",Price Direction Constant,0,0,1
"Gold futures rise to Rs 28,844 on firm global cues",Price Direction Down,0,0,1
"Gold futures rise to Rs 28,844 on firm global cues",Asset Comparision,0,0,1
"Gold futures rise to Rs 28,844 on firm global cues",Past Information,1,0,0
"Gold futures rise to Rs 28,844 on firm global cues",Future Information,0,0,1
"Gold futures rise to Rs 28,844 on firm global cues",Price Sentiment_positive,1,1,1
"Gold futures rise to Rs 28,844 on firm global cues",Price Sentiment_negative,0,0,1
"Gold futures rise to Rs 28,844 on firm global cues",Price Sentiment_none,0,0,1
gold settles lower for fourth session in five,Price Direction Up,0,0,1
gold settles lower for fourth session in five,Price Direction Constant,0,0,1
gold settles lower for fourth session in five,Price Direction Down,1,1,1
gold settles lower for fourth session in five,Asset Comparision,0,0,1
gold settles lower for fourth session in five,Past Information,1,1,1
gold settles lower for fourth session in five,Future Information,0,0,1
gold settles lower for fourth session in five,Price Sentiment_positive,0,0,1
gold settles lower for fourth session in five,Price Sentiment_negative,1,1,1
gold settles lower for fourth session in five,Price Sentiment_none,0,0,1
Gold steady close to 2-week highs,Price Direction Up,0,0,1
Gold steady close to 2-week highs,Price Direction Constant,1,1,1
Gold steady close to 2-week highs,Price Direction Down,0,0,1
Gold steady close to 2-week highs,Asset Comparision,0,0,1
Gold steady close to 2-week highs,Past Information,1,1,1
Gold steady close to 2-week highs,Future Information,0,0,1
Gold steady close to 2-week highs,Price Sentiment_positive,0,1,0
Gold steady close to 2-week highs,Price Sentiment_negative,0,0,1
Gold steady close to 2-week highs,Price Sentiment_none,0,0,1
Gold prices continue gains in Asia from overnight,Price Direction Up,1,1,1
Gold prices continue gains in Asia from overnight,Price Direction Constant,0,0,1
Gold prices continue gains in Asia from overnight,Price Direction Down,0,0,1
Gold prices continue gains in Asia from overnight,Asset Comparision,0,0,1
Gold prices continue gains in Asia from overnight,Past Information,1,1,1
Gold prices continue gains in Asia from overnight,Future Information,0,0,1
Gold prices continue gains in Asia from overnight,Price Sentiment_positive,1,1,1
Gold prices continue gains in Asia from overnight,Price Sentiment_negative,0,0,1
Gold prices continue gains in Asia from overnight,Price Sentiment_none,0,0,1
"spot gold quoted at $417.50, down 20c from new york",Price Direction Up,0,0,1
"spot gold quoted at $417.50, down 20c from new york",Price Direction Constant,0,0,1
"spot gold quoted at $417.50, down 20c from new york",Price Direction Down,1,1,1
"spot gold quoted at $417.50, down 20c from new york",Asset Comparision,0,0,1
"spot gold quoted at $417.50, down 20c from new york",Past Information,1,1,1
"spot gold quoted at $417.50, down 20c from new york",Future Information,0,0,1
"spot gold quoted at $417.50, down 20c from new york",Price Sentiment_positive,0,0,1
"spot gold quoted at $417.50, down 20c from new york",Price Sentiment_negative,1,1,1
"spot gold quoted at $417.50, down 20c from new york",Price Sentiment_none,0,0,1
Gold slips lower amid U.S. rate hike speculation,Price Direction Up,0,0,1
Gold slips lower amid U.S. rate hike speculation,Price Direction Constant,0,0,1
Gold slips lower amid U.S. rate hike speculation,Price Direction Down,1,1,1
Gold slips lower amid U.S. rate hike speculation,Asset Comparision,0,1,0
Gold slips lower amid U.S. rate hike speculation,Past Information,1,0,0
Gold slips lower amid U.S. rate hike speculation,Future Information,0,1,0
Gold slips lower amid U.S. rate hike speculation,Price Sentiment_positive,0,0,1
Gold slips lower amid U.S. rate hike speculation,Price Sentiment_negative,1,1,1
Gold slips lower amid U.S. rate hike speculation,Price Sentiment_none,0,0,1
"gold futures touched $1,000 an ounce, back at $996.60",Price Direction Up,1,0,0
"gold futures touched $1,000 an ounce, back at $996.60",Price Direction Constant,0,0,1
"gold futures touched $1,000 an ounce, back at $996.60",Price Direction Down,0,0,1
"gold futures touched $1,000 an ounce, back at $996.60",Asset Comparision,0,0,1
"gold futures touched $1,000 an ounce, back at $996.60",Past Information,1,0,0
"gold futures touched $1,000 an ounce, back at $996.60",Future Information,0,0,1
"gold futures touched $1,000 an ounce, back at $996.60",Price Sentiment_positive,1,1,1
"gold futures touched $1,000 an ounce, back at $996.60",Price Sentiment_negative,0,0,1
"gold futures touched $1,000 an ounce, back at $996.60",Price Sentiment_none,0,0,1
Gold holds modest loss after ADP report,Price Direction Up,0,0,1
Gold holds modest loss after ADP report,Price Direction Constant,0,0,1
Gold holds modest loss after ADP report,Price Direction Down,1,1,1
Gold holds modest loss after ADP report,Asset Comparision,0,1,0
Gold holds modest loss after ADP report,Past Information,1,1,1
Gold holds modest loss after ADP report,Future Information,0,0,1
Gold holds modest loss after ADP report,Price Sentiment_positive,0,1,0
Gold holds modest loss after ADP report,Price Sentiment_negative,1,1,1
Gold holds modest loss after ADP report,Price Sentiment_none,0,0,1
Gold drops to lowest finish since early February,Price Direction Up,0,0,1
Gold drops to lowest finish since early February,Price Direction Constant,0,0,1
Gold drops to lowest finish since early February,Price Direction Down,1,1,1
Gold drops to lowest finish since early February,Asset Comparision,0,0,1
Gold drops to lowest finish since early February,Past Information,1,1,1
Gold drops to lowest finish since early February,Future Information,0,0,1
Gold drops to lowest finish since early February,Price Sentiment_positive,0,0,1
Gold drops to lowest finish since early February,Price Sentiment_negative,1,1,1
Gold drops to lowest finish since early February,Price Sentiment_none,0,0,1
"gold, oil hold to gains after spain's budget plan",Price Direction Up,1,0,0
"gold, oil hold to gains after spain's budget plan",Price Direction Constant,0,0,1
"gold, oil hold to gains after spain's budget plan",Price Direction Down,0,0,1
"gold, oil hold to gains after spain's budget plan",Asset Comparision,1,1,1
"gold, oil hold to gains after spain's budget plan",Past Information,1,0,0
"gold, oil hold to gains after spain's budget plan",Future Information,0,0,1
"gold, oil hold to gains after spain's budget plan",Price Sentiment_positive,1,1,1
"gold, oil hold to gains after spain's budget plan",Price Sentiment_negative,0,0,1
"gold, oil hold to gains after spain's budget plan",Price Sentiment_none,0,0,1
turkish gold trader implicates erdogan in iran money laundering,Price Direction Up,0,0,1
turkish gold trader implicates erdogan in iran money laundering,Price Direction Constant,0,0,1
turkish gold trader implicates erdogan in iran money laundering,Price Direction Down,0,0,1
turkish gold trader implicates erdogan in iran money laundering,Asset Comparision,0,0,1
turkish gold trader implicates erdogan in iran money laundering,Past Information,1,1,1
turkish gold trader implicates erdogan in iran money laundering,Future Information,0,0,1
turkish gold trader implicates erdogan in iran money laundering,Price Sentiment_positive,0,0,1
turkish gold trader implicates erdogan in iran money laundering,Price Sentiment_negative,0,1,0
turkish gold trader implicates erdogan in iran money laundering,Price Sentiment_none,1,0,0
Gold prices mark first loss in four sessions,Price Direction Up,0,0,1
Gold prices mark first loss in four sessions,Price Direction Constant,0,0,1
Gold prices mark first loss in four sessions,Price Direction Down,1,1,1
Gold prices mark first loss in four sessions,Asset Comparision,0,0,1
Gold prices mark first loss in four sessions,Past Information,1,1,1
Gold prices mark first loss in four sessions,Future Information,0,0,1
Gold prices mark first loss in four sessions,Price Sentiment_positive,0,0,1
Gold prices mark first loss in four sessions,Price Sentiment_negative,1,1,1
Gold prices mark first loss in four sessions,Price Sentiment_none,0,0,1
barrick gold q3 net falls,Price Direction Up,0,0,1
barrick gold q3 net falls,Price Direction Constant,0,0,1
barrick gold q3 net falls,Price Direction Down,1,0,0
barrick gold q3 net falls,Asset Comparision,0,0,1
barrick gold q3 net falls,Past Information,1,1,1
barrick gold q3 net falls,Future Information,0,0,1
barrick gold q3 net falls,Price Sentiment_positive,0,0,1
barrick gold q3 net falls,Price Sentiment_negative,1,1,1
barrick gold q3 net falls,Price Sentiment_none,0,0,1
"Gold futures rise to Rs 29,000 per 10 gm",Price Direction Up,1,1,1
"Gold futures rise to Rs 29,000 per 10 gm",Price Direction Constant,0,0,1
"Gold futures rise to Rs 29,000 per 10 gm",Price Direction Down,0,0,1
"Gold futures rise to Rs 29,000 per 10 gm",Asset Comparision,0,0,1
"Gold futures rise to Rs 29,000 per 10 gm",Past Information,1,0,0
"Gold futures rise to Rs 29,000 per 10 gm",Future Information,0,0,1
"Gold futures rise to Rs 29,000 per 10 gm",Price Sentiment_positive,1,1,1
"Gold futures rise to Rs 29,000 per 10 gm",Price Sentiment_negative,0,0,1
"Gold futures rise to Rs 29,000 per 10 gm",Price Sentiment_none,0,0,1
northern ireland : gold firm submits plans for its '$1bn' county tyrone mine,Price Direction Up,0,0,1
northern ireland : gold firm submits plans for its '$1bn' county tyrone mine,Price Direction Constant,0,0,1
northern ireland : gold firm submits plans for its '$1bn' county tyrone mine,Price Direction Down,0,0,1
northern ireland : gold firm submits plans for its '$1bn' county tyrone mine,Asset Comparision,0,0,1
northern ireland : gold firm submits plans for its '$1bn' county tyrone mine,Past Information,1,0,0
northern ireland : gold firm submits plans for its '$1bn' county tyrone mine,Future Information,0,1,0
northern ireland : gold firm submits plans for its '$1bn' county tyrone mine,Price Sentiment_positive,0,1,0
northern ireland : gold firm submits plans for its '$1bn' county tyrone mine,Price Sentiment_negative,0,0,1
northern ireland : gold firm submits plans for its '$1bn' county tyrone mine,Price Sentiment_none,1,0,0
gold falls near one-week low,Price Direction Up,0,0,1
gold falls near one-week low,Price Direction Constant,0,0,1
gold falls near one-week low,Price Direction Down,1,1,1
gold falls near one-week low,Asset Comparision,0,0,1
gold falls near one-week low,Past Information,1,1,1
gold falls near one-week low,Future Information,0,0,1
gold falls near one-week low,Price Sentiment_positive,0,0,1
gold falls near one-week low,Price Sentiment_negative,1,1,1
gold falls near one-week low,Price Sentiment_none,0,0,1
"aug. gold settles at $1,173.60/oz on comex, up $5.50, or 0.5%",Price Direction Up,1,1,1
"aug. gold settles at $1,173.60/oz on comex, up $5.50, or 0.5%",Price Direction Constant,0,0,1
"aug. gold settles at $1,173.60/oz on comex, up $5.50, or 0.5%",Price Direction Down,0,0,1
"aug. gold settles at $1,173.60/oz on comex, up $5.50, or 0.5%",Asset Comparision,0,0,1
"aug. gold settles at $1,173.60/oz on comex, up $5.50, or 0.5%",Past Information,1,1,1
"aug. gold settles at $1,173.60/oz on comex, up $5.50, or 0.5%",Future Information,0,0,1
"aug. gold settles at $1,173.60/oz on comex, up $5.50, or 0.5%",Price Sentiment_positive,1,1,1
"aug. gold settles at $1,173.60/oz on comex, up $5.50, or 0.5%",Price Sentiment_negative,0,0,1
"aug. gold settles at $1,173.60/oz on comex, up $5.50, or 0.5%",Price Sentiment_none,0,0,1
Gold books its first gain in 6 sessions as dollar falls,Price Direction Up,1,1,1
Gold books its first gain in 6 sessions as dollar falls,Price Direction Constant,0,0,1
Gold books its first gain in 6 sessions as dollar falls,Price Direction Down,0,0,1
Gold books its first gain in 6 sessions as dollar falls,Asset Comparision,1,1,1
Gold books its first gain in 6 sessions as dollar falls,Past Information,1,1,1
Gold books its first gain in 6 sessions as dollar falls,Future Information,0,0,1
