pmid,gt_answer,pred_answer,correct,model_output
17192736,no,yes,0,yes
14652839,no,yes,0,yes
12145243,yes,no,0,yes
25571931,maybe,no,0,no
19108857,yes,no,0,yes
25443385,yes,maybe,0,yes
18719011,no,no,1,no
9044116,no,no,1,no
23621776,no,no,1,no
12970636,no,yes,0,yes
21084567,yes,yes,1,yes
19546588,no,no,1,no
19923859,yes,yes,1,yes
18616781,yes,yes,1,yes
27991408,no,yes,0,yes
14655021,no,yes,0,yes
26175531,no,no,1,no
25168472,yes,yes,1,yes
9446993,no,no,1,no
10473855,no,yes,0,yes
28006766,yes,yes,1,yes
11833948,yes,yes,1,yes
27757987,no,no,1,no
16772913,yes,yes,1,yes
19575104,no,yes,0,yes
24449622,no,yes,0,yes
12095973,no,yes,0,yes
23761381,no,no,1,no
16971978,yes,yes,1,yes
10375486,no,no,1,no
21558951,no,yes,0,yes
15528969,yes,yes,1,yes
17062225,yes,no,0,no
14713788,yes,yes,1,yes
24374414,yes,yes,1,yes
20736887,no,no,1,no
22504515,no,maybe,0,es
10577397,yes,no,0,no
15369037,yes,yes,1,yes
24073931,no,yes,0,yes
18472368,yes,yes,1,yes
23992109,yes,yes,1,yes
21164063,no,yes,0,yes
21951591,yes,yes,1,yes
18619710,no,yes,0,yes
18784527,no,yes,0,yes
15919266,no,no,1,no
2503176,yes,yes,1,yes
22108230,yes,maybe,0,es
20338971,yes,yes,1,yes
17276801,yes,yes,1,yes
20497880,no,no,1,no
23495128,yes,yes,1,yes
26701174,yes,maybe,0,es
24695920,yes,yes,1,yes
15488260,yes,yes,1,yes
15466981,yes,yes,1,yes
18603989,yes,yes,1,yes
21789019,no,yes,0,yes
14692023,yes,yes,1,yes
25150098,yes,yes,1,yes
20337874,no,yes,0,yes
19198736,no,no,1,no
22411435,yes,yes,1,yes
16266387,yes,no,0,yes
23792130,yes,yes,1,yes
17462393,no,yes,0,yes
21457946,yes,yes,1,yes
26383908,yes,maybe,0,yes
19481382,no,yes,0,yes
25699562,yes,yes,1,yes
17682349,yes,maybe,0,
18251357,yes,yes,1,yes
20971618,maybe,maybe,1,maybe
19648304,yes,yes,1,yes
23222920,yes,yes,1,yes
21864397,yes,yes,1,yes
26601554,yes,yes,1,yes
19322056,yes,yes,1,yes
22522271,no,yes,0,yes
9363529,yes,yes,1,yes
15962678,yes,yes,1,yes
7547656,no,yes,0,yes
24235894,no,no,1,no
17429333,no,no,1,no
19156007,yes,yes,1,yes
9603166,no,yes,0,yes
24298614,yes,yes,1,yes
21849531,no,yes,0,yes
19854401,no,no,1,no
22237146,yes,yes,1,yes
25793749,maybe,yes,0,yes
15095519,no,yes,0,yes
25981682,no,yes,0,yes
18284441,maybe,yes,0,yes
10173769,yes,no,0,no
20354380,yes,maybe,0,es
9616411,yes,yes,1,yes
22205377,yes,maybe,0,
16241924,no,yes,0,yes
12484580,yes,yes,1,yes
24599411,yes,yes,1,yes
23860049,maybe,yes,0,yes
7664228,no,yes,0,yes
22233470,no,maybe,0,maybe
17971187,no,maybe,0,maybe
27394685,no,yes,0,yes
25079920,maybe,yes,0,yes
17355582,yes,yes,1,yes
20736672,maybe,maybe,1,
12419743,yes,yes,1,yes
10973547,no,yes,0,yes
25499207,yes,yes,1,yes
26133538,no,yes,0,yes
26163474,yes,yes,1,yes
14968373,yes,yes,1,yes
24698298,no,yes,0,yes
23088164,no,no,1,no
24481006,yes,no,0,yes
17032327,no,yes,0,yes
22658587,yes,yes,1,yes
8916748,yes,yes,1,yes
16361634,maybe,yes,0,yes
25756710,yes,yes,1,yes
23916653,yes,yes,1,yes
12790890,maybe,yes,0,maybe
23449952,no,yes,0,yes
10430303,yes,maybe,0,maybe
20605051,yes,yes,1,yes
23048048,yes,yes,1,yes
16991071,yes,yes,1,yes
12090319,no,yes,0,yes
24614851,yes,yes,1,yes
17578985,maybe,yes,0,yes
26965932,yes,yes,1,yes
15137012,no,yes,0,yes
21194998,no,maybe,0,no
15787677,maybe,yes,0,yes
24625433,no,no,1,no
25304452,yes,yes,1,yes
19711462,maybe,yes,0,yes
28196511,no,maybe,0,no
24591144,maybe,yes,0,yes
21431987,no,no,1,no
18928979,yes,yes,1,yes
25752725,yes,yes,1,yes
12855939,no,no,1,no
24476003,no,no,1,no
24606627,yes,yes,1,yes
23386371,maybe,yes,0,yes
10922093,yes,yes,1,yes
20602101,no,no,1,no
18065862,yes,yes,1,yes
9569972,yes,yes,1,yes
25406780,yes,yes,1,yes
20629769,yes,yes,1,yes
23149821,maybe,yes,0,yes
11483547,no,no,1,no
27884344,yes,yes,1,yes
18800356,maybe,yes,0,yes
22301406,yes,yes,1,yes
26079501,no,no,1,no
15774570,no,yes,0,yes
18319270,no,no,1,no
26209118,no,no,1,no
11713724,no,no,1,no
25070942,no,yes,0,yes
19683101,no,no,1,no
10783841,yes,yes,1,yes
11862129,no,no,1,no
23455575,no,no,1,no
21848798,yes,yes,1,yes
25103647,maybe,no,0,no
19406119,yes,yes,1,yes
24359102,yes,yes,1,yes
18802997,maybe,yes,0,yes
26304701,yes,yes,1,yes
19058191,yes,yes,1,yes
27549226,yes,yes,1,yes
24799031,no,maybe,0,maybe
25043083,yes,yes,1,yes
26516021,yes,yes,1,yes
23736032,yes,yes,1,yes
17312514,yes,yes,1,yes
23002947,no,no,1,no
23453079,yes,maybe,0,es
15053041,no,no,1,no
9465206,yes,yes,1,yes
19593710,yes,yes,1,yes
8521557,no,maybe,0,s
24340838,yes,yes,1,yes
24751724,yes,yes,1,yes
21368683,yes,yes,1,yes
27832831,no,no,1,no
15208005,yes,yes,1,yes
24958650,yes,yes,1,yes
16713745,yes,maybe,0,s
24669960,no,maybe,0,no
9278754,yes,yes,1,yes
8738894,no,yes,0,yes
24671913,yes,yes,1,yes
22540518,yes,yes,1,yes
16538201,maybe,yes,0,yes
17054994,no,maybe,0,maybe
26999038,yes,yes,1,yes
23598835,no,maybe,0,
17890090,yes,yes,1,yes
22813804,no,maybe,0,
26923375,yes,yes,1,yes
20304513,no,no,1,no
21689015,yes,yes,1,yes
10811329,yes,yes,1,yes
10834864,no,maybe,0,maybe
27909738,no,yes,0,yes
26063028,yes,yes,1,yes
25034219,no,yes,0,yes
25521278,yes,yes,1,yes
27908583,yes,yes,1,yes
23422012,no,yes,0,yes
11500608,no,no,1,no
8111516,yes,yes,1,yes
25604390,yes,yes,1,yes
25985014,no,no,1,no
14627582,no,yes,0,yes
18570208,yes,yes,1,yes
23448747,yes,yes,1,yes
20156655,yes,yes,1,yes
16147837,yes,yes,1,yes
16249670,no,no,1,no
24495711,yes,yes,1,yes
20101129,maybe,yes,0,yes
17593459,yes,yes,1,yes
24577079,no,maybe,0,maybe
9582182,yes,maybe,0,
17715311,yes,maybe,0,es
12094116,yes,yes,1,yes
19430778,yes,yes,1,yes
12848629,yes,yes,1,yes
10732884,no,no,1,no
23568387,no,no,1,no
25675614,yes,no,0,yes
26864326,yes,yes,1,yes
26784147,no,yes,0,yes
20850631,yes,yes,1,yes
22849512,maybe,yes,0,yes
27642458,no,yes,0,yes
17403428,no,yes,0,yes
21252642,no,maybe,0,maybe
25503376,yes,no,0,yes
12172698,yes,yes,1,yes
19351635,maybe,no,0,no
17551944,yes,yes,1,yes
17606778,yes,no,0,no
24318956,yes,yes,1,yes
26044262,no,yes,0,yes
20011163,yes,no,0,no
16735905,maybe,yes,0,yes
18670651,yes,yes,1,yes
11034241,maybe,yes,0,yes
24013712,yes,yes,1,yes
23240452,no,maybe,0,maybe
21420186,yes,yes,1,yes
22302761,yes,yes,1,yes
21979183,no,no,1,no
12607120,no,maybe,0,no
21914194,maybe,yes,0,yes
25725704,yes,yes,1,yes
24516646,yes,no,0,no
28247485,yes,yes,1,yes
11334578,no,yes,0,yes
21593045,no,no,1,no
22902073,yes,yes,1,yes
26471488,no,no,1,no
16647887,no,no,1,no
22668712,no,yes,0,no
18439500,no,yes,0,yes
23347337,yes,yes,1,yes
22970993,yes,yes,1,yes
16498158,yes,yes,1,yes
24622801,yes,yes,1,yes
15000338,no,yes,0,yes
22491528,maybe,yes,0,yes
11247896,maybe,yes,0,yes
19145527,maybe,yes,0,yes
18568239,yes,maybe,0,yes
22075911,yes,yes,1,yes
10401824,yes,yes,1,yes
21880023,no,no,1,no
21726930,yes,maybe,0,yes
22768311,no,yes,0,yes
25636371,maybe,yes,0,yes
15050326,yes,yes,1,yes
23412195,yes,yes,1,yes
16968183,yes,yes,1,yes
23359100,yes,yes,1,yes
15943725,yes,yes,1,yes
25735444,maybe,yes,0,yes
9722752,yes,yes,1,yes
23870157,yes,yes,1,yes
22303473,no,no,1,no
24995509,maybe,yes,0,yes
24270957,yes,yes,1,yes
23848044,yes,yes,1,yes
9920954,yes,yes,1,yes
21276532,yes,yes,1,yes
23379759,yes,yes,1,yes
25891436,yes,yes,1,yes
24450673,no,yes,0,yes
17914515,yes,yes,1,yes
24739448,no,yes,0,yes
19444061,no,no,1,no
25669733,yes,no,0,yes
20577124,yes,yes,1,yes
21592383,no,maybe,0,maybe
11053064,no,yes,0,yes
9745063,yes,yes,1,yes
11138995,no,yes,0,yes
15475728,yes,yes,1,yes
12121321,yes,yes,1,yes
17342562,no,yes,0,yes
28011794,maybe,yes,0,yes
24098953,yes,yes,1,yes
24827404,no,yes,0,yes
28407529,no,yes,0,yes
27928673,yes,yes,1,yes
22011946,no,no,1,no
23517744,yes,no,0,no
20842006,no,yes,0,yes
9140335,maybe,yes,0,yes
12142826,no,yes,0,yes
22382608,no,no,1,no
17329379,yes,yes,1,yes
27288618,no,no,1,no
21873082,yes,yes,1,yes
